cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
362	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	VCU	Dirección De Asuntos Internacionales Y Alumni	VCU	Dirección De Asuntos Internacionales Y Alumni	MAGIX
441	DCI-SECRETARÍA DE CONTENIDOS Y PRENSA	VCU	Dci-Secretaría De Contenidos Y Prensa	VCU	Dci-Secretaría De Contenidos Y Prensa	MAGIX
167	DIRECCIÓN DE RELACIONES INSTITUCIONALES Y COMUNICACIONES	VCU	Dirección De Relaciones Institucionales Y Comunicaciones	VCU	Dirección De Relaciones Institucionales Y Comunicaciones	MAGIX
307	DRIC-SECRETARÍA DE PROMOCIÓN	VCU	Dric-Secretaría De Promoción	VCU	Dric-Secretaría De Promoción	MAGIX
311	DRIC-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	VCU	Dric-Dirección De Comunicación Institucional	VCU	Dric-Dirección De Comunicación Institucional	MAGIX
201	DIRECCIÓN DE RELACIONES INSTITUCIONALES Y COMUNICACIONES	VCU	Dirección De Relaciones Institucionales Y Comunicaciones	VCU	Dirección De Relaciones Institucionales Y Comunicaciones	MAGIX
465	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	VCU	Dirección De Asuntos Estudiantiles	VCU	Dirección De Asuntos Estudiantiles	MAGIX
321	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VCU	Vicerrectoría Del Medio Universitario	VCU	Vicerrectoría Del Medio Universitario	MAGIX
328	DRIC-SECRETARÍA DE COMUNICACIÓN	VCU	Dric-Secretaría De Comunicación	VCU	Dric-Secretaría De Comunicación	MAGIX
329	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES	VCU	Dric-Secretaría De Relaciones Institucionales	VCU	Dric-Secretaría De Relaciones Institucionales	MAGIX
330	SERVICIO DE ATENCIÓN ESTUDIANTIL	VCU	Servicio De Atención Estudiantil	VCU	Servicio De Atención Estudiantil	MAGIX
361	DCI-SECRETARÍA DE COMUNICACIÓN	VCU	Dci-Secretaría De Comunicación	VCU	Dci-Secretaría De Comunicación	MAGIX
344	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	VCU	Dci-Dirección De Comunicación Institucional	VCU	Dci-Dirección De Comunicación Institucional	MAGIX
340	DCI-SECRETARÍA DE PROMOCIÓN	VCU	Dci-Secretaría De Promoción	VCU	Dci-Secretaría De Promoción	MAGIX
