CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
468	UCU BUSINESS SCHOOL                                                                                 	UCUBS     
469	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
471	DIRECCI�N DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	INTERESTL
473	VICERRECTOR�A DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU
474	VICERRECTOR�A DE PROGRAMAS ACAD�MICOS                                                               	VPA       
475	VICERRECTOR�A DE INVESTIGACI�N E INNOVACI�N                                                         	VII
476	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-deptos
477	CENTRO DE EDUCACI�N CONTINUA                                                                        	CEC       
478	BEDEL�A                                                                                             	Bedel�a   
479	FACULTAD DE CIENCIAS DE LA SALUD                                                                    	FCS       
480	ESCUELA DE POSTGRADOS                                                                               	EPG       
481	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
482	FACULTAD DE DERECHO                                                                                 	FD
483	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
484	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
485	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
486	CAMPUS PUNTA DEL ESTE                                                                               	PESTE     
487	CAMPUS SALTO                                                                                        	SALTO     
488	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
489	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
490	DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                             	DCI
491	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
492	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
493	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
494	GENERALES                                                                                           	Generales 
495	CAMPUS MONTEVIDEO                                                                                   	CAMPUS MVD
496	RECTOR�A                                                                                            	Rector�a  
497	OFICINA DE TITULACI�N                                                                               	TITULACION
498	DIRECCI�N DE ASUNTOS ESTUDIANTILES                                                                  	DAE       
499	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
500	CENTRO DE IDIOMAS                                                                                   	DPING     
501	UCU BUSINESS SCHOOL                                                                                 	UCUBS     
502	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
503	DIRECCI�N DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	INTERESTL
504	VICERRECTOR�A DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU
505	VICERRECTOR�A DE PROGRAMAS ACAD�MICOS                                                               	VPA       
506	VICERRECTOR�A DE INVESTIGACI�N E INNOVACI�N                                                         	VII
507	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-deptos
508	CENTRO DE EDUCACI�N CONTINUA                                                                        	CEC       
509	BEDEL�A                                                                                             	Bedel�a   
510	FACULTAD DE CIENCIAS DE LA SALUD                                                                    	FCS       
511	ESCUELA DE POSTGRADOS                                                                               	EPG       
512	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
513	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
514	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
515	CAMPUS PUNTA DEL ESTE                                                                               	PESTE     
516	CAMPUS SALTO                                                                                        	SALTO     
517	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
518	FACULTAD DE DERECHO                                                                                 	FD
519	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
520	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
521	DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                             	DCI
522	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
523	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
524	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
525	GENERALES                                                                                           	Generales 
526	CAMPUS MONTEVIDEO                                                                                   	CAMPUS MVD
527	RECTOR�A                                                                                            	Rector�a  
528	OFICINA DE TITULACI�N                                                                               	TITULACION
529	DIRECCI�N DE ASUNTOS ESTUDIANTILES                                                                  	DAE       
530	VICERRECTOR�A ADMINISTRATIVA                                                                        	VRAD      
531	CENTRO DE IDIOMAS                                                                                   	DPING     
532	UCU BUSINESS SCHOOL                                                                                 	UCUBS     
533	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
534	DIRECCI�N DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	INTERESTL
535	VICERRECTOR�A DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU
536	VICERRECTOR�A DE PROGRAMAS ACAD�MICOS                                                               	VPA       
537	VICERRECTOR�A DE INVESTIGACI�N E INNOVACI�N                                                         	VII
538	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-deptos
